Date,Time,Result
2025-12-23,22:14:23.075403,NOT OK
2025-12-23,22:14:23.143900,NOT OK
2025-12-23,22:14:23.243047,NOT OK
2025-12-23,22:14:23.338463,NOT OK
2025-12-23,22:14:23.431504,NOT OK
2025-12-23,22:14:23.521888,NOT OK
2025-12-23,22:14:23.633777,NOT OK
2025-12-23,22:14:23.737205,NOT OK
2025-12-23,22:14:23.930291,NOT OK
2025-12-23,22:14:24.124484,NOT OK
2025-12-23,22:14:24.234587,NOT OK
2025-12-23,22:14:24.421155,NOT OK
2025-12-23,22:14:24.611885,NOT OK
2025-12-23,22:14:24.825775,NOT OK
2025-12-23,22:14:25.058768,NOT OK
2025-12-23,22:14:25.321361,NOT OK
2025-12-23,22:14:25.513932,NOT OK
2025-12-23,22:14:25.719510,NOT OK
2025-12-23,22:14:25.915005,NOT OK
2025-12-23,22:14:26.102957,NOT OK
2025-12-23,22:14:26.197094,NOT OK
2025-12-23,22:14:26.410412,NOT OK
2025-12-23,22:14:26.592191,NOT OK
2025-12-23,22:14:26.801318,NOT OK
2025-12-23,22:14:26.904354,NOT OK
2025-12-23,22:14:26.998840,NOT OK
2025-12-23,22:14:27.067840,NOT OK
2025-12-23,22:14:27.103192,NOT OK
2025-12-23,22:14:27.175973,NOT OK
2025-12-23,22:14:27.220041,NOT OK
2025-12-23,22:14:27.281139,NOT OK
2025-12-23,22:14:27.318234,NOT OK
2025-12-23,22:14:27.378430,NOT OK
2025-12-23,22:14:27.419656,NOT OK
2025-12-23,22:14:27.511357,NOT OK
2025-12-23,22:14:27.601109,NOT OK
2025-12-23,22:14:27.705281,NOT OK
2025-12-23,22:14:27.815233,NOT OK
2025-12-23,22:14:27.954663,NOT OK
2025-12-23,22:14:28.132656,NOT OK
2025-12-23,22:14:28.306092,NOT OK
2025-12-23,22:14:28.398716,NOT OK
2025-12-23,22:14:28.459327,NOT OK
2025-12-23,22:14:28.501673,NOT OK
2025-12-23,22:14:28.539207,NOT OK
2025-12-23,22:14:28.599041,NOT OK
2025-12-23,22:14:28.641418,NOT OK
2025-12-23,22:14:28.703678,NOT OK
2025-12-23,22:14:28.764498,NOT OK
2025-12-23,22:14:28.798429,NOT OK
2025-12-23,22:14:28.895496,NOT OK
2025-12-23,22:14:29.068129,NOT OK
2025-12-23,22:14:29.205788,NOT OK
2025-12-23,22:14:29.332261,NOT OK
2025-12-23,22:14:29.476145,NOT OK
2025-12-23,22:14:29.600898,NOT OK
2025-12-23,22:14:29.687471,NOT OK
2025-12-23,22:14:29.728965,NOT OK
2025-12-23,22:14:29.797434,NOT OK
2025-12-23,22:14:29.834101,NOT OK
2025-12-23,22:14:29.903324,NOT OK
2025-12-23,22:14:29.940132,NOT OK
2025-12-23,22:14:30.005430,NOT OK
2025-12-23,22:14:30.098441,NOT OK
2025-12-23,22:14:30.198334,NOT OK
2025-12-23,22:14:30.287327,NOT OK
2025-12-23,22:14:30.389692,NOT OK
2025-12-23,22:14:30.537228,NOT OK
2025-12-23,22:14:30.673288,NOT OK
2025-12-23,22:14:30.790723,NOT OK
2025-12-23,22:14:30.936518,NOT OK
2025-12-23,22:14:31.087768,NOT OK
2025-12-23,22:14:31.228726,NOT OK
2025-12-23,22:14:31.296767,NOT OK
2025-12-23,22:14:31.331348,NOT OK
2025-12-23,22:14:31.380573,NOT OK
2025-12-23,22:14:31.454214,NOT OK
2025-12-23,22:14:31.514859,NOT OK
2025-12-23,22:14:31.555275,NOT OK
2025-12-23,22:14:31.638000,NOT OK
2025-12-23,22:14:31.738944,NOT OK
2025-12-23,22:14:31.797141,NOT OK
2025-12-23,22:14:31.871502,NOT OK
2025-12-23,22:14:31.916626,NOT OK
2025-12-23,22:14:31.987144,NOT OK
2025-12-23,22:14:32.042445,NOT OK
